IPCC_ID;IPCC_NAME;CORINE_ID;RASTER_ID;CORINE_NAME
5;Settlements;111;1;Continuous urban fabric
5;Settlements;112;2;Discontinuous urban fabric
5;Settlements;121;3;Industrial or commercial units
5;Settlements;122;4;Road and rail networks and associated land
5;Settlements;123;5;Port areas
5;Settlements;124;6;Airports
5;Settlements;131;7;Mineral extraction sites
5;Settlements;132;8;Dump sites
5;Settlements;133;9;Construction sites
5;Settlements;141;10;Green urban areas
5;Settlements;142;11;Sport and leisure facilities
2;Cropland;211;12;Non-irrigated arable land
2;Cropland;212;13;Permanently irrigated land
2;Cropland;213;14;Rice fields
2;Cropland;221;15;Vineyards
2;Cropland;222;16;Fruit trees and berry plantations
2;Cropland;223;17;Olive groves
2;Cropland;231;18;Pastures
2;Cropland;241;19;Annual crops associated with permanent crops
2;Cropland;242;20;Complex cultivation patterns
2;Cropland;243;21;Land principally occupied by agriculture with significant areas of natural vegetation
2;Cropland;244;22;Agro-forestry areas
1;Forest land;311;23;Broad-leaved forest
1;Forest land;312;24;Coniferous forest
1;Forest land;313;25;Mixed forest
3;Grassland;321;26;Natural grasslands
3;Grassland;322;27;Moors and heathland
3;Grassland;323;28;Sclerophyllous vegetation
1;Forest land;324;29;Transitional woodland-shrub
6;Other Land;331;30;Beaches dunes sands
6;Other Land;332;31;Bare rocks
6;Other Land;333;32;Sparsely vegetated areas
6;Other Land;334;33;Burnt areas
6;Other Land;335;34;Glaciers and perpetual snow
4;Wetlands;411;35;Inland marshes
4;Wetlands;412;36;Peat bogs
4;Wetlands;421;37;Salt marshes
4;Wetlands;422;38;Salines
4;Wetlands;423;39;Intertidal flats
4;Wetlands;511;40;Water courses
4;Wetlands;512;41;Water bodies
4;Wetlands;521;42;Coastal lagoons
4;Wetlands;522;43;Estuaries
4;Wetlands;523;44;Sea and ocean
999;NODATA;999;48;NODATA
