IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,1104911,0.841284428817036
1,Forest Land,AS,Falsch,#006d2c,208451,0.15871557118296398
2,Cropland,AS,Wahr,#d95f0e,414721,0.9593250135899423
2,Cropland,AS,Falsch,#993404,17584,0.040674986410057734
3,Grasslands,AS,Wahr,#ffffcc,18348,0.014147953605075621
3,Grasslands,AS,Falsch,#d9f0a3,1278518,0.9858520463949244
4,Wetlands,AS,Wahr,#2c7fb8,133518,0.7045953476590535
4,Wetlands,AS,Falsch,#253494,55978,0.2954046523409465
5,Settlements,AS,Wahr,#d9d9d9,163590,0.5000366797491105
5,Settlements,AS,Falsch,#bdbdbd,163566,0.4999633202508895
6,Other Land,AS,Wahr,#fa9fb5,383833,0.6735259332568269
6,Other Land,AS,Falsch,#f768a1,186053,0.32647406674317314
