IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,1092664,0.831959505452419
1,Forest Land,AS,Falsch,#006d2c,220698,0.16804049454758097
2,Cropland,AS,Wahr,#d95f0e,416737,0.9639883878280381
2,Cropland,AS,Falsch,#993404,15568,0.036011612171961915
3,Grasslands,AS,Wahr,#ffffcc,14818,0.01142600700457873
3,Grasslands,AS,Falsch,#d9f0a3,1282048,0.9885739929954213
4,Wetlands,AS,Wahr,#2c7fb8,126036,0.6651116646261662
4,Wetlands,AS,Falsch,#253494,63460,0.3348883353738338
5,Settlements,AS,Wahr,#d9d9d9,49540,0.15142623091124724
5,Settlements,AS,Falsch,#bdbdbd,277616,0.8485737690887527
6,Other Land,AS,Wahr,#fa9fb5,377511,0.6624324864972995
6,Other Land,AS,Falsch,#f768a1,192375,0.33756751350270053
