IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,227019,0.17558871438051762
1,Forest Land,AS,Falsch,#006d2c,1065883,0.8244112856194824
2,Cropland,AS,Wahr,#d95f0e,84188,0.18717054289417576
2,Cropland,AS,Falsch,#993404,365605,0.8128294571058242
3,Grasslands,AS,Wahr,#ffffcc,575136,0.43982209388401844
3,Grasslands,AS,Falsch,#d9f0a3,732520,0.5601779061159815
4,Wetlands,AS,Wahr,#2c7fb8,45881,0.24325470672753205
4,Wetlands,AS,Falsch,#253494,142732,0.756745293272468
5,Settlements,AS,Wahr,#d9d9d9,119232,0.3858540879200538
5,Settlements,AS,Falsch,#bdbdbd,189776,0.6141459120799462
6,Other Land,AS,Wahr,#fa9fb5,58384,0.10047169243106596
6,Other Land,AS,Falsch,#f768a1,522715,0.899528307568934
