IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,1107794,0.8568275089681971
1,Forest Land,AS,Falsch,#006d2c,185108,0.14317249103180285
2,Cropland,AS,Wahr,#d95f0e,376790,0.8376964514787913
2,Cropland,AS,Falsch,#993404,73003,0.16230354852120865
3,Grasslands,AS,Wahr,#ffffcc,756161,0.5782568198364095
3,Grasslands,AS,Falsch,#d9f0a3,551495,0.42174318016359047
4,Wetlands,AS,Wahr,#2c7fb8,145318,0.7704559070689719
4,Wetlands,AS,Falsch,#253494,43295,0.22954409293102807
5,Settlements,AS,Wahr,#d9d9d9,198656,0.6428830321545074
5,Settlements,AS,Falsch,#bdbdbd,110352,0.3571169678454926
6,Other Land,AS,Wahr,#fa9fb5,525504,0.9043278339835381
6,Other Land,AS,Falsch,#f768a1,55595,0.09567216601646189
