IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,1104750,0.8544731155184229
1,Forest Land,AS,Falsch,#006d2c,188152,0.14552688448157713
2,Cropland,AS,Wahr,#d95f0e,376441,0.8369205390034972
2,Cropland,AS,Falsch,#993404,73352,0.16307946099650283
3,Grasslands,AS,Wahr,#ffffcc,754598,0.5770615513560141
3,Grasslands,AS,Falsch,#d9f0a3,553058,0.4229384486439859
4,Wetlands,AS,Wahr,#2c7fb8,145337,0.7705566424371597
4,Wetlands,AS,Falsch,#253494,43276,0.2294433575628403
5,Settlements,AS,Wahr,#d9d9d9,198087,0.6410416558794594
5,Settlements,AS,Falsch,#bdbdbd,110921,0.3589583441205406
6,Other Land,AS,Wahr,#fa9fb5,525417,0.9041781176701388
6,Other Land,AS,Falsch,#f768a1,55682,0.09582188232986122
