IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1.0,Forest Land,AS,Wahr,#2ca25f,1246732,0.949267604818778
1.0,Forest Land,AS,Falsch,#006d2c,66630,0.05073239518122197
2.0,Cropland,AS,Wahr,#d95f0e,254459,0.5886098934779843
2.0,Cropland,AS,Falsch,#993404,177846,0.4113901065220157
3.0,Grasslands,AS,Wahr,#ffffcc,1070397,0.8253720893291983
3.0,Grasslands,AS,Falsch,#d9f0a3,226469,0.17462791067080174
4.0,Wetlands,AS,Wahr,#2c7fb8,148601,0.784190695318107
4.0,Wetlands,AS,Falsch,#253494,40895,0.21580930468189297
5.0,Settlements,AS,Wahr,#d9d9d9,144268,0.4409761703896612
5.0,Settlements,AS,Falsch,#bdbdbd,182888,0.5590238296103388
6.0,Other Land,AS,Wahr,#fa9fb5,474064,0.8318575995900934
6.0,Other Land,AS,Falsch,#f768a1,95822,0.16814240040990658
