IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1.0,Forest Land,AS,Wahr,#2ca25f,1236605,0.9415568594188045
1.0,Forest Land,AS,Falsch,#006d2c,76757,0.058443140581195485
2.0,Cropland,AS,Wahr,#d95f0e,253123,0.5855194827725796
2.0,Cropland,AS,Falsch,#993404,179182,0.4144805172274204
3.0,Grasslands,AS,Wahr,#ffffcc,1051892,0.811103074643024
3.0,Grasslands,AS,Falsch,#d9f0a3,244974,0.188896925356976
4.0,Wetlands,AS,Wahr,#2c7fb8,146990,0.7756891966057331
4.0,Wetlands,AS,Falsch,#253494,42506,0.2243108033942669
5.0,Settlements,AS,Wahr,#d9d9d9,130768,0.3997114526403306
5.0,Settlements,AS,Falsch,#bdbdbd,196388,0.6002885473596694
6.0,Other Land,AS,Wahr,#fa9fb5,458254,0.8041152090067136
6.0,Other Land,AS,Falsch,#f768a1,111632,0.19588479099328637
