Nummer	Bezeichnung
1	Industrie- und Gewerbegebäude
2	Umschwung von Industrie- und Gewerbegebäuden
3	Ein- und Zweifamilienhäuser
4	Umschwung von Ein- und Zweifamilienhäusern
5	Reihen- und Terrassenhäuser
6	Umschwung von Reihen- und Terrassenhäusern
7	Mehrfamilienhäuser
8	Umschwung von Mehrfamilienhäusern
9	Öffentliche Gebäude
10	Umschwung von öffentlichen Gebäuden
11	Landwirtschaftliche Gebäude
12	Umschwung von landwirtschaftlichen Gebäuden
13	Nicht spezifizierte Gebäude
14	Umschwung von nicht spezifizierten Gebäuden
15	Autobahnen
16	Autobahngrün
17	Strassen, Wege
18	Strassengrün
19	Parkplatzareal
20	Befestigtes Bahnareal
21	Bahngrün
22	Flugplätze
23	Graspisten, Flugplatzgrün
24	Energieversorgungsanlagen
25	Abwasserreinigungsanlagen
26	Übrige Ver- und Entsorgungsanlagen
27	Deponien
28	Abbau
29	Baustellen
30	Bau- und Siedlungsbrachen
31	Öffentliche Parkanlagen
32	Sportanlagen
33	Golfplätze
34	Campingplätze
35	Schrebergärten
36	Friedhöfe
37	Obstanlagen
38	Feldobst
39	Rebbauflächen
40	Gartenbauflächen
41	Ackerland
42	Naturwiesen
43	Heimweiden
44	Verbuschte Wiesen und Heimweiden
45	Alpwiesen
46	Günstige Alp- und Juraweiden
47	Verbuschte Alp- und Juraweiden
48	Versteinte Alp- und Juraweiden
49	Schafalpen
50	Normalwald
51	Schmaler Wald
52	Aufforstungen
53	Holzschläge
54	Waldschäden
55	Aufgelöster Wald (auf Landwirtschaftsflächen)
56	Aufgelöster Wald (auf unproduktiven Flächen)
57	Gebüschwald
58	Feldgehölze, Hecken
59	Baumgruppen (auf Landwirtschaftsflächen)
60	Baumgruppen (auf unproduktiven Flächen)
61	Stehende Gewässer
62	Wasserläufe
63	Hochwasserverbauungen
64	Gebüsch, Strauchvegetation
65	Unproduktive Gras- und Krautvegetation
66	Lawinen- und Steinschlagverbauungen
67	Feuchtgebiete
68	Alpine Sportinfrastruktur
69	Fels
70	Geröll, Sand
71	Landschaftseingriffe
72	Gletscher, Firn
